restaurant_link;restaurant_name;city;address;latitude;longitude;top_tags;price_level;meals;cuisines;special_diets;features;vegetarian_friendly;vegan_options;gluten_free;original_open_hours;avg_rating;total_reviews_count;excellent;very_good;average;poor;terrible;food;service;value
g187147-d8114690;La Numidie;Paris;106 avenue de Saint Ouen, 75018 Paris France;48.89426;2.32803;Cheap Eats, Moroccan, Mediterranean, Middle Eastern;€;Lunch Dinner;Moroccan Middle Eastern Tunisian Mediterranean;;Reservations Seating Table Service Wheelchair Accessible;N;N;N;;5.0;11.0;1.0;0.0;0.0;0.0;0.0;5.0;4.5;5.0
g187147-d812017;Le Quinze;Paris;15 rue du Surmelin, 75020 Paris France;48.8681;2.40317;Mid-range, French;€€-€€€;Breakfast Lunch Dinner;French;;Seating Reservations Wheelchair Accessible Serves Alcohol Table Service;N;N;N;"{""Mon"": [""08:30-22:00""], ""Tue"": [""08:30-22:00""], ""Wed"": [""08:30-22:00""], ""Thu"": [""08:30-22:00""], ""Fri"": [""08:30-22:00""], ""Sat"": [""08:30-22:00""], ""Sun"": [""08:30-20:00""]}";3.5;28.0;9.0;9.0;0.0;6.0;4.0;3.5;3.0;3.5
g187147-d812087;Le Grenier de Notre Dame;Paris;18 rue de la Bucherie, 75005 Paris France;48.85199;2.348349;Mid-range, French, European, Healthy;€€-€€€;Lunch Dinner Drinks;French European Healthy;Vegetarian Friendly, Vegan Options, Gluten Free Options;Takeout Outdoor Seating Seating Wheelchair Accessible Serves Alcohol Wine and Beer Accepts Mastercard Accepts Visa Free Wifi Reservations Accepts Credit Cards Table Service Digital Payments;Y;Y;Y;"{""Mon"": [""12:00-23:00""], ""Tue"": [""12:00-23:00""], ""Wed"": [""12:00-23:00""], ""Thu"": [""12:00-23:00""], ""Fri"": [""12:00-23:00""], ""Sat"": [""12:00-23:00""], ""Sun"": [""12:00-23:00""]}";4.0;678.0;158.0;102.0;51.0;18.0;13.0;4.0;4.0;3.5
g187147-d8124943;Ernest & Valentin;Paris;225 rue de Charenton, 75012 Paris France;48.838074;2.390455;Mid-range, Bakeries, French;€€-€€€;Breakfast;French;;Takeout Wheelchair Accessible;N;N;N;;4.0;85.0;13.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0
g187147-d8129962;Bistrot de Juliette;Paris;86 rue de Wattignies 12th Arrondissement, 75012 Paris France;48.834682;2.400722;Mid-range, French;€€-€€€;Lunch Dinner;French;;Reservations Seating Table Service Wheelchair Accessible;N;N;N;;4.5;13.0;2.0;0.0;0.0;0.0;0.0;5.0;5.0;5.0
g187147-d8134821;Le Plomb du Cantal;Paris;5 rue du Maine, 75014 Paris France;48.84072;2.323421;Mid-range, French, European;€€-€€€;Lunch Dinner;French European;;Reservations Outdoor Seating Seating Wheelchair Accessible Serves Alcohol Full Bar Accepts Credit Cards Table Service;N;N;N;"{""Mon"": [""09:00-00:00""], ""Tue"": [""09:00-00:00""], ""Wed"": [""09:00-00:00""], ""Thu"": [""09:00-00:00""], ""Fri"": [""09:00-00:00""], ""Sat"": [""09:00-00:00""], ""Sun"": [""09:00-00:00""]}";4.0;213.0;7.0;5.0;1.0;0.0;1.0;4.5;4.5;4.0
g187147-d8135406;Les Petits Domaines;Paris;208 rue de Grenelle, 75007 Paris France;48.85675;2.30337;;;Lunch Dinner;;;Highchairs Available Wheelchair Accessible Serves Alcohol Wine and Beer Accepts American Express Digital Payments Accepts Credit Cards;N;N;N;"{""Mon"": [], ""Tue"": [""11:00-20:00""], ""Wed"": [""11:00-20:00""], ""Thu"": [""11:00-20:00""], ""Fri"": [""11:00-20:00""], ""Sat"": [""11:00-20:00""], ""Sun"": [""11:00-20:00""]}";5.0;8.0;3.0;0.0;0.0;0.0;0.0;;;
g187147-d814592;Devant-Vous;Paris;80 rue de Richelieu, 75002 Paris France;48.869766;2.339143;Mid-range, Japanese, Asian, Grill;€€-€€€;Lunch Dinner;Japanese Asian Grill;;Reservations Seating Wheelchair Accessible Serves Alcohol Table Service;N;N;N;;4.0;123.0;1.0;3.0;3.0;0.0;0.0;4.0;4.0;3.5
g187147-d815672;Casa Paco;Paris;13 rue de Bassano, 75116 Paris France;48.868908;2.297172;Mid-range, European, Spanish;€€-€€€;Lunch Dinner After-hours;European Spanish;;Reservations Seating Wheelchair Accessible Serves Alcohol Accepts Credit Cards Table Service;N;N;N;"{""Mon"": [""12:00-14:30"", ""19:00-23:00""], ""Tue"": [""12:00-14:30"", ""19:00-23:00""], ""Wed"": [""12:00-14:30"", ""19:00-23:00""], ""Thu"": [""12:00-14:30"", ""19:00-23:00""], ""Fri"": [""12:00-14:30"", ""19:00-23:00""], ""Sat"": [""12:00-14:30"", ""19:00-23:00""], ""Sun"": []}";3.5;472.0;22.0;15.0;6.0;5.0;6.0;3.5;3.5;3.0
g187147-d816881;Le Pachyderme;Paris;2 B boulevard Saint Martin, 75010 Paris France;48.8682;2.361227;Mid-range, French, Bar, European;€€-€€€;Lunch Dinner Brunch After-hours Drinks;French Bar European;;Reservations Outdoor Seating Seating Wheelchair Accessible Serves Alcohol Full Bar Free Wifi Table Service;N;N;N;"{""Mon"": [""10:00-02:00""], ""Tue"": [""10:00-02:00""], ""Wed"": [""10:00-02:00""], ""Thu"": [""10:00-02:00""], ""Fri"": [""10:00-02:00""], ""Sat"": [""10:00-02:00""], ""Sun"": [""10:00-02:00""]}";3.0;453.0;9.0;34.0;17.0;5.0;11.0;3.0;3.5;3.0
g187147-d817349;Le Commerce Cafe;Paris;80 rue du Commerce, 75015 Paris France;48.844833;2.293947;Mid-range, French, Bar, European;€€-€€€;Lunch Dinner;French European Bar Pub;;Reservations Outdoor Seating Seating Wheelchair Accessible Serves Alcohol Full Bar Table Service;N;N;N;;3.5;214.0;20.0;18.0;3.0;3.0;2.0;3.5;3.5;3.5
g187147-d8178565;Le Carrousel;Paris;Quai Brenly Corner Of The Pont D'iena, 75007 Paris France;48.86142;2.2972;Mid-range;€€-€€€;;;;Wheelchair Accessible;N;N;N;;4.0;39.0;5.0;2.0;3.0;1.0;0.0;;;
g187147-d8261317;Chez Georges;Paris;44 rue d Artois, 75008 Paris France;48.87444;2.30544;Cheap Eats, Lebanese, Mediterranean;€;Dinner;Lebanese Mediterranean;;Takeout Wheelchair Accessible;N;N;N;;4.5;19.0;1.0;1.0;0.0;0.0;0.0;4.5;4.5;4.5
g187147-d8272581;Les Delices De Marengo;Paris;2 rue de Marengo, 75001 Paris France;48.86163;2.33939;Mid-range;€€-€€€;Lunch Drinks;;;Outdoor Seating Wheelchair Accessible Free Wifi Accepts Credit Cards;N;N;N;;;;2.0;2.0;3.0;0.0;1.0;;;
g187147-d8278856;Yoshi;Paris;103 rue de Prony, 75017 Paris France;48.88455;2.29863;Cheap Eats, Japanese, Sushi, Asian;€;Dinner Lunch;Japanese Asian Sushi;;Takeout Reservations Seating Table Service Wheelchair Accessible;N;N;N;;4.0;34.0;2.0;1.0;3.0;0.0;1.0;4.0;4.5;4.0
g187147-d8279232;Daguerre Maree;Paris;9 Rue Daguerre, 75104 Paris France;48.83363;2.330688;Mid-range, Seafood, European;€€-€€€;Lunch Dinner;Seafood European;;Reservations Seating Wheelchair Accessible Serves Alcohol Table Service;N;N;N;;4.0;68.0;10.0;3.0;0.0;0.0;0.0;4.5;4.5;4.0
g187147-d8283508;Tooq Tooq;Paris;Avenue de France Devant le MK2 Bibliotheque, 75013 Paris France;48.83249;2.37474;Cheap Eats, Asian, Thai, Vegetarian Friendly;€;;Asian Thai;Vegetarian Friendly;Takeout Wheelchair Accessible;Y;N;N;;3.5;23.0;2.0;0.0;0.0;0.0;0.0;3.0;3.5;3.5
g187147-d8297019;McDonald's;Paris;17, Rue de l'Arc en Ciel Rue De L'arc En Ciel, 75001 Paris France;48.86163;2.34789;Cheap Eats;€;Breakfast Lunch Dinner;;;Seating Wheelchair Accessible;N;N;N;"{""Mon"": [""07:30-20:30""], ""Tue"": [""07:30-20:30""], ""Wed"": [""07:30-20:30""], ""Thu"": [""07:30-20:30""], ""Fri"": [""07:30-20:30""], ""Sat"": [""07:30-20:30""], ""Sun"": [""08:30-20:30""]}";3.0;16.0;0.0;1.0;1.0;0.0;0.0;;;
g187147-d8297028;McDonald's;Paris;77 boulevard Ornano Paris Clignancourt, 75018 Paris France;48.89743;2.344535;Cheap Eats, Fast food;€;Breakfast Lunch Dinner Brunch;Fast food;;Wheelchair Accessible Seating;N;N;N;"{""Mon"": [""09:00-22:00""], ""Tue"": [""09:00-22:00""], ""Wed"": [""09:00-22:00""], ""Thu"": [""09:00-22:00""], ""Fri"": [""09:00-22:00""], ""Sat"": [""09:00-22:00""], ""Sun"": [""09:00-22:00""]}";2.5;15.0;0.0;0.0;1.0;1.0;0.0;;;
g187147-d8297144;McDonald's;Paris;30 Avenue d Italie Centre Commercial Italie 2, 75013 Paris France;48.828938;2.355272;Cheap Eats, Quick Bites, Fast food;€;Breakfast Lunch Dinner;Fast food;;Takeout Wheelchair Accessible Delivery Seating;N;N;N;"{""Mon"": [""10:00-18:00""], ""Tue"": [""10:00-18:00""], ""Wed"": [""10:00-18:00""], ""Thu"": [""10:00-18:00""], ""Fri"": [""10:00-18:00""], ""Sat"": [""10:00-18:00""], ""Sun"": [""11:00-18:00""]}";2.5;20.0;0.0;1.0;0.0;0.0;1.0;2.0;2.0;2.5
